src,dst,travelMinutes,weight
0,10550,0.29,0.9856
10550,0,0.29,0.9856
0,10923,0.37,0.9814
10923,0,0.37,0.9814
0,11747,0.47,0.9764
11747,0,0.47,0.9764
0,9395,0.61,0.9694
9395,0,0.61,0.9694
0,11196,0.88,0.9561
11196,0,0.88,0.9561
0,2987,0.94,0.9529
2987,0,0.94,0.9529
0,13248,0.96,0.9521
13248,0,0.96,0.9521
0,10762,1.36,0.9318
10762,0,1.36,0.9318
1,1818,0.63,0.9685
1818,1,0.63,0.9685
1,1366,0.76,0.9618
1366,1,0.76,0.9618
1,92,1.07,0.9463
92,1,1.07,0.9463
1,11567,1.17,0.9415
11567,1,1.17,0.9415
1,91,1.26,0.937
91,1,1.26,0.937
1,13064,1.38,0.9311
13064,1,1.38,0.9311
1,575,1.48,0.9261
575,1,1.48,0.9261
1,9888,1.88,0.9061
9888,1,1.88,0.9061
2,3385,0.51,0.9747
3385,2,0.51,0.9747
2,4085,1.28,0.9358
4085,2,1.28,0.9358
2,12800,1.29,0.9355
12800,2,1.29,0.9355
2,10930,1.65,0.9173
10930,2,1.65,0.9173
2,12747,2.47,0.8765
12747,2,2.47,0.8765
2,2402,2.8,0.8599
2402,2,2.8,0.8599
2,10111,3.22,0.8388
10111,2,3.22,0.8388
2,11332,3.25,0.8374
11332,2,3.25,0.8374
3,373,0.08,0.9958
373,3,0.08,0.9958
3,10466,0.15,0.9927
10466,3,0.15,0.9927
3,13472,0.25,0.9875
13472,3,0.25,0.9875
3,13138,0.28,0.9858
13138,3,0.28,0.9858
3,3747,0.3,0.9849
3747,3,0.3,0.9849
3,12572,0.38,0.981
12572,3,0.38,0.981
3,10940,0.44,0.9782
10940,3,0.44,0.9782
3,9970,0.44,0.9779
9970,3,0.44,0.9779
4,12778,2.03,0.8983
12778,4,2.03,0.8983
4,3589,2.96,0.8522
3589,4,2.96,0.8522
4,2340,2.99,0.8505
2340,4,2.99,0.8505
4,8411,3.32,0.8342
8411,4,3.32,0.8342
4,13180,3.32,0.8338
13180,4,3.32,0.8338
4,11227,3.35,0.8324
11227,4,3.35,0.8324
4,80,3.48,0.826
80,4,3.48,0.826
4,1493,3.51,0.8243
1493,4,3.51,0.8243
5,3036,0.89,0.9554
3036,5,0.89,0.9554
5,11281,2.71,0.8643
11281,5,2.71,0.8643
5,12220,2.76,0.862
12220,5,2.76,0.862
5,12406,3.06,0.8468
12406,5,3.06,0.8468
5,11453,6.89,0.6555
11453,5,6.89,0.6555
5,11612,7.35,0.6324
11612,5,7.35,0.6324
5,2507,7.36,0.632
2507,5,7.36,0.632
5,4135,8.12,0.594
4135,5,8.12,0.594
6,12723,0.3,0.9852
12723,6,0.3,0.9852
6,3458,0.46,0.977
3458,6,0.46,0.977
6,9324,0.61,0.9696
9324,6,0.61,0.9696
6,12713,0.84,0.9579
12713,6,0.84,0.9579
6,3811,0.94,0.9529
3811,6,0.94,0.9529
6,1414,1.01,0.9495
1414,6,1.01,0.9495
6,9302,1.23,0.9384
9302,6,1.23,0.9384
6,13108,1.39,0.9307
13108,6,1.39,0.9307
7,6838,0.45,0.9775
6838,7,0.45,0.9775
7,76,0.51,0.9743
