nodeIdx,id,name,lat,lon,pantryTypeBinary,magnetScore,reliability,waitNorm,ratingNorm,povertyNorm,densityNorm,waitTimeMinutesAverage
0,clel2n5440006l00fj2wxwitb,Madison Avenue Crossroads Community,40.9237922,-74.1524135,1.0,0.0,0.5,1.4999997750000338e-07,0.0,0.1878,0.2849462365591398,0.0
1,629,Jewish Community Council (JCC) of Greater Coney Island,40.5726933,-74.0021478,0.0,0.0,0.5,6.499999025000147e-07,0.6666666666666666,0.3172,0.08602150537634409,5.0
2,cmi3i14tt1b7941fjbllc19e7,Food 4 Life Lakewood Grocery Giveaway,33.7051375,-84.3792953,1.0,0.0,0.5,1.149999827500026e-06,0.75,0.1611,0.04838709677419355,10.0
3,cmisz0iz102cuzxedcn6277kp,St. Benedict the Moor,40.8078858,-73.9169898,1.0,0.0,0.5,1.4999997750000338e-07,0.0,0.3337,0.5,0.0
4,cllqgd3gy001jmx0g2yfmnxt1,Lomax Temple,42.402909,-83.073264,1.0,0.0,0.5,3.6499994525000822e-06,0.6666666666666666,0.4018,0.053763440860215055,35.0
5,clh0tx406000alb0fl6yqdzch,Mulberry Baptist Church,35.2452348,-80.9341735,1.0,0.0,0.5,8.999998650000202e-07,0.9333333333333332,0.0966,0.021505376344086023,7.5
6,cly8uhutu01tr9lesezyiarpu,New York Avenue Presbyterian Church,38.8998368,-77.0312764,0.0,0.0,0.5,1.4999997750000338e-07,0.0,0.0834,0.24731182795698925,0.0
7,ckywjg0ej002604xj4czdsn56,Kitchen of Love,40.0813989,-75.1746935,1.0,0.0,0.5,4.649999302500105e-06,0.625,0.1267,0.05913978494623656,45.0
8,cmk51i98y012b2r29b8194o2u,Eager to Serve Inc,40.650852,-73.586227,1.0,0.0,0.5,1.4999997750000338e-07,0.0,0.0371,0.043010752688172046,0.0
9,cmier5ozl0f8l0kfom6shggph,Emanuel Evangelical Lutheran Church,40.4927549,-74.4459827,1.0,0.0,0.5,1.4999997750000338e-07,0.0,0.3383,0.22043010752688172,0.0
10,416,Henry Street Settlement - Good Companions Senior Center,40.7128444,-73.9827504,1.0,0.0,0.5,1.4999997750000338e-07,0.8888888888888901,0.2821,0.5752688172043011,0.0
11,clg4rf9q80000k00f4xvyddqd,Liberty Community Development Corp,39.3126768,-76.7474356,1.0,0.0,0.5,2.149999677500048e-06,0.0,0.1107,0.03225806451612903,20.0
12,clejysf120002md0f5vpfaj3o,"Jewish Family and Vocational Service of Middlesex County, NJ - Milltown",40.4184442,-74.512547,1.0,0.0,0.5,1.4999997750000338e-07,0.75,0.0754,0.0,0.0
13,295,Christian Pentecostal Church,40.6048581,-74.0922882,1.0,0.0,0.5,6.1499990775001386e-06,0.75,0.11,0.12903225806451613,60.0
14,ckymj4cpx1012693nzywitjzgd5,Penn Asian Evergreen Community Center,40.058769,-75.1397145,0.0,0.0,0.5,1.4999997750000338e-07,0.7999999999999999,0.2542,0.1774193548387097,0.0
15,ckyi91nfa005304vjetlbwq4f,ST. CECELIA FOOD PANTRY,40.574071,-74.322912,1.0,0.0,0.5,1.149999827500026e-06,0.9,0.0265,0.016129032258064516,10.0
16,cldmjsz9x0002mn0fw720wpao,St. Francis House,42.3524148,-71.0635366,0.0,0.0,0.5,2.499999625000056e-07,0.9333333333333332,0.2216,0.20967741935483872,1.0
